"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","phase","stage","shape","subj_idx","TaskRelevance","CognitiveLoad","isMatch","Identity","display_label","nBack_shape","nBack_color","nBack_label","sequence","condition_type","correct_response","correct"
"","","","","","image-keyboard-response","5569","5024523","0.0-4.0-3.0-0.1-551.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5570","5025528","0.0-4.0-3.0-0.1-552.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5571","5026547","0.0-4.0-3.0-0.1-553.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5572","5028564","0.0-4.0-3.0-0.1-554.1","null","","null","","main","response","","100","TaskIRRelevant","2","false","自我","生人","../img/green_circle.png","red","","../img/red_triangle.png,../img/red_triangle.png,../img/green_circle.png,../img/green_circle.png","{""label_type"":""自我"",""is_match"":false,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green""]}","j","false"
"","","","","","html-keyboard-response","5573","5028865","0.0-4.0-3.0-0.1-555.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5574","5029948","0.0-4.0-3.0-0.1-556.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5575","5030450","0.0-4.0-3.0-0.1-557.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5576","5031466","0.0-4.0-3.0-0.1-558.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5577","5032496","0.0-4.0-3.0-0.1-559.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5578","5034524","0.0-4.0-3.0-0.1-560.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","自我","自我","../img/red_circle.png","red","","../img/red_circle.png,../img/red_circle.png,../img/green_triangle.png","{""label_type"":""自我"",""is_match"":true,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""red"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""red"",""red"",""green"",""green"",""green"",""green"",""green""]}","f","false"
