"","subj_idx","gender","year","rt","correct_response","correct","key_press","word","shape","condition"
"105",1,1,"2001",779,"arrowright","true","arrowright","朋友","朋友","matching_task"
"106",1,1,"2001",1025,"arrowright","true","arrowright","朋友","朋友","matching_task"
"107",1,1,"2001",848,"arrowleft","true","arrowleft","自我","生人","matching_task"
"108",1,1,"2001",633,"arrowleft","false","arrowright","自我","朋友","matching_task"
"109",1,1,"2001",849,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"110",1,1,"2001",727,"arrowleft","true","arrowleft","自我","生人","matching_task"
"111",1,1,"2001",793,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"112",1,1,"2001",NA,"arrowleft","false","null","自我","朋友","matching_task"
"113",1,1,"2001",732,"arrowright","true","arrowright","朋友","朋友","matching_task"
"114",1,1,"2001",903,"arrowright","true","arrowright","生人","生人","matching_task"
"115",1,1,"2001",654,"arrowleft","true","arrowleft","生人","自我","matching_task"
"116",1,1,"2001",780,"arrowleft","false","arrowright","朋友","自我","matching_task"
"117",1,1,"2001",574,"arrowright","true","arrowright","自我","自我","matching_task"
"118",1,1,"2001",779,"arrowright","true","arrowright","朋友","朋友","matching_task"
"119",1,1,"2001",588,"arrowright","true","arrowright","自我","自我","matching_task"
"120",1,1,"2001",898,"arrowright","true","arrowright","生人","生人","matching_task"
"121",1,1,"2001",776,"arrowright","true","arrowright","生人","生人","matching_task"
"122",1,1,"2001",1030,"arrowleft","true","arrowleft","自我","生人","matching_task"
"123",1,1,"2001",697,"arrowright","true","arrowright","自我","自我","matching_task"
"124",1,1,"2001",715,"arrowleft","true","arrowleft","生人","自我","matching_task"
"125",1,1,"2001",837,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"126",1,1,"2001",991,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"127",1,1,"2001",662,"arrowright","true","arrowright","自我","自我","matching_task"
"128",1,1,"2001",760,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"129",1,1,"2001",863,"arrowright","true","arrowright","生人","生人","matching_task"
